time,band id,section,beat,threshold,spectrum
17 17 27 40,0,1,true,0.6,3.8730621
17 17 27 60,0,1,true,0.6,2.799106
17 17 28 80,0,1,true,0.6,2.018933
17 17 28 100,0,1,true,0.6,1.4549897
17 17 28 120,0,1,true,0.6,1.0552491
17 17 29 140,0,1,true,0.6,0.77422184
17 18 13 2820,0,1,true,0.6,0.8346985
17 18 13 2820,1,1,true,0.6,0.619684
17 18 13 2820,2,1,true,0.6,0.6866333
17 18 14 2860,0,1,true,0.6,0.6434662
17 18 14 2860,1,1,true,0.6,0.95979863
17 18 14 2860,3,1,true,0.6,0.69040227
17 18 14 2880,0,1,true,0.6,0.7077454
17 18 14 2880,1,1,true,0.6,0.63431585
17 18 14 2880,2,1,true,0.6,0.67546284
17 18 14 2880,7,1,true,0.6,0.77965015
17 18 15 2900,1,1,true,0.6,0.72922534
17 18 15 2900,2,1,true,0.6,1.3801562
17 18 15 2900,29,2,true,0.5,0.7666419
17 18 15 2920,2,1,true,0.6,0.8649416
17 18 15 2920,5,1,true,0.6,0.89436877
17 18 15 2940,1,1,true,0.6,0.67114747
17 18 15 2940,3,1,true,0.6,0.64642817
17 18 16 2960,1,1,true,0.6,1.1961409
17 18 16 2960,5,1,true,0.6,0.5929589
17 18 16 2980,1,1,true,0.6,0.6419617
17 18 16 2980,2,1,true,0.6,0.62710327
17 18 16 2980,4,1,true,0.6,0.6229058
17 18 16 2980,5,1,true,0.6,0.65385544
17 18 16 3000,5,1,true,0.6,0.60305506
17 18 16 3000,7,1,true,0.6,0.75036454
17 18 17 3020,4,1,true,0.6,0.88439465
17 18 17 3020,7,1,true,0.6,0.9032596
17 18 17 3020,33,2,true,0.5,0.51761705
17 18 17 3040,1,1,true,0.6,0.7240634
17 18 17 3060,1,1,true,0.6,0.7741273
17 18 17 3060,2,1,true,0.6,0.725501
17 18 17 3060,3,1,true,0.6,0.78504413
17 18 17 3060,4,1,true,0.6,1.0428246
17 18 17 3060,28,2,true,0.5,0.6604442
17 18 17 3060,29,2,true,0.5,1.7088286
17 18 17 3060,33,2,true,0.5,0.6322632
17 18 18 3080,1,1,true,0.6,0.68429106
17 18 18 3080,3,1,true,0.6,0.7536476
17 18 18 3080,28,2,true,0.5,0.91592026
17 18 18 3080,29,2,true,0.5,1.0012921
17 18 18 3100,1,1,true,0.6,0.73244596
17 18 18 3120,1,1,true,0.6,0.99684155
17 18 18 3120,2,1,true,0.6,0.79111606
17 18 18 3120,7,1,true,0.6,0.624709
17 18 19 3160,2,1,true,0.6,0.7306728
17 18 19 3160,11,1,true,0.6,1.1490155
17 18 19 3180,2,1,true,0.6,1.1825877
17 18 19 3180,3,1,true,0.6,1.0313755
17 18 20 3200,1,1,true,0.6,0.97277546
17 18 20 3200,5,1,true,0.6,0.7673249
17 18 20 3220,1,1,true,0.6,1.101344
17 18 20 3220,5,1,true,0.6,0.835343
